stem,crops,layout_s,recognize_s,assemble_s
page-d1561665-5359-42fe-920c-d6e3bff81953,15,0.973,10.808,0.003
page-cdd33cf6-76ce-42bb-a99c-342c861afed0,10,0.857,8.668,0.001
page-67013be9-58e5-4842-809d-7a3c1fc91fc7,10,0.874,13.390,0.001
page-e721a819-6dbf-453a-a7ad-857c24f9aa3e,20,0.862,17.866,0.001
page-7a7566fd-43d8-46e4-8a4f-0330e1f27a88,24,0.843,11.632,0.001
page-b2cc5729-a6b2-49ba-af62-788bf069b617,11,0.846,23.004,0.001
page-f6ad0f1c-acb7-43c0-b08d-5606ca82fc1b,22,0.859,18.379,0.001
page-4089ffa0-27f5-4a20-ba2f-c68e3ad46ce2,18,0.851,12.974,0.001
page-b1b8cc79-a7b3-4ac5-a7c2-49416b195ccb,6,0.858,1.237,0.001
page-4540d82a-19d8-44ef-8f18-6d42fdb2a2de,22,1.222,4.593,0.001
page-d271a2ab-4523-44c4-94b5-303bf54b69e9,15,0.822,2.640,0.001
page-aee8f1d9-7240-4517-b615-389594556d57,7,0.855,3.769,0.001
page-7430bf33-f161-485f-b880-c9f4ce58b83b,7,0.877,4.183,0.001
page-ab441454-71f1-4900-87c1-d71d5602261e,5,0.829,3.615,0.001
page-56023e3d-ae9b-486d-b7bb-419624d18356,8,0.853,1.609,0.001
page-f245e436-c16e-4d7c-8797-c473bf25880a,6,0.873,5.726,0.001
page-c99421f9-4435-44a9-82f8-7b044bb0ee1d,12,0.848,9.495,0.001
page-b4d4cf5b-0a0e-454b-8220-8c7f58402791,7,0.882,6.792,0.001
page-dd5b0a99-4cc6-4fa9-ab63-a277947735b1,18,0.854,12.172,0.001
page-632fad6b-6da9-4567-bd2d-a4763a03a314,13,0.871,7.028,0.001
page-5cb4b2fe-c14d-450e-9b97-4b6e7c99493b,7,0.884,22.072,0.001
page-35ecd651-17dd-43e6-8a6f-8f55d6796d96,9,1.003,15.108,0.001
yanbaopptmerge_yanbaoPPT_1080,2,0.869,1.350,0.001
yanbaopptmerge_yanbaoPPT_1625,1,0.867,0.431,0.001
yanbaopptmerge_yanbaoPPT_2845,3,0.853,0.178,0.001
yanbaopptmerge_yanbaoPPT_4115,4,0.864,1.990,0.001
yanbaopptmerge_yanbaoPPT_4615,4,0.857,0.816,0.001
yanbaopptmerge_yanbaoPPT_5175,2,0.862,0.959,0.001
yanbaopptmerge_yanbaoPPT_5685,8,0.869,1.551,0.001
yanbaopptmerge_yanbaoPPT_745,3,0.856,0.283,0.001
yanbaor2_75f9d788216f5e26469269defcd466aa8d250542b2142c72782103913bc6e61b.pdf_6,6,0.868,2.896,0.001
docstructbench_llm-raw-scihub-o.O-ceat.200600410.pdf_5,18,0.870,58.035,0.001
docstructbench_llm-raw-scihub-o.O-hyp.1040.pdf_9,8,0.860,8.889,0.001
docstructbench_llm-raw-scihub-o.O-j.apcata.2004.01.008.pdf_6,17,0.877,7.600,0.001
docstructbench_llm-raw-scihub-o.O-j.mseb.2009.12.004.pdf_2,18,0.877,35.906,0.001
docstructbench_llm-raw-scihub-o.O-s00348-006-0117-x.pdf_11,18,0.910,23.372,0.001
docstructbench_dianzishu_zhongwenzaixian-o.O-61465568.pdf_186,6,0.832,1.561,0.001
docstructbench_dianzishu_zhongwenzaixian-o.O-61569751.pdf_155,17,0.858,7.539,0.001
docstructbench_dianzishu_zhongwenzaixian-o.O-63709763.pdf_72,6,0.835,3.309,0.001
yanbaopptmerge_593a9a157e4d56a5a57eb14f1d1beec5.pdf_944,36,0.863,18.501,0.001
yanbaor2_0a49fd5fc362650bf30a0a9391a2d2f091e751ba3d51da18e630e23856905c63.pdf_8,9,0.855,5.081,0.001
yanbaor2_e2f6b15971d68a7f081216b0c0d8538cab413124fc8911f4db4fbb3d17f167c4.pdf_14,9,0.875,3.726,0.001
yanbaor2_yanbaoPPT_3302,13,0.858,7.708,0.001
jiaocai_jiaocai_en_518,20,0.884,4.504,0.001
docstructbench_dianzishu_zhongwenzaixian-o.O-61564860.pdf_81,15,0.845,2.772,0.001
docstructbench_llm-raw-scihub-o.O-hup.777.pdf_8,16,0.870,38.729,0.001
docstructbench_llm-raw-the-eye-o.O-1%20Excel.pdf_12,14,0.873,28.966,0.001
jiaocaineedrop_38247658.pdf_0,30,0.909,16.049,0.001
jiaocaineedrop_bio-113065.pdf_213,17,0.897,8.133,0.001
jiaocaineedrop_chem-97961.pdf_128,12,0.883,2.735,0.001
jiaocaineedrop_jiaocai_needrop_en_1249,11,0.848,6.240,0.001
jiaocaineedrop_jiaocai_needrop_en_1408,33,0.834,4.826,0.001
jiaocaineedrop_jiaocai_needrop_en_1564,42,0.891,19.650,0.001
jiaocaineedrop_jiaocai_needrop_en_1898,14,0.885,4.141,0.001
jiaocaineedrop_jiaocai_needrop_en_2193,23,0.872,6.879,0.001
jiaocaineedrop_jiaocai_needrop_en_2496,14,0.872,4.572,0.001
jiaocaineedrop_jiaocai_needrop_en_2732,26,0.900,17.761,0.001
jiaocaineedrop_jiaocai_needrop_en_3063,9,0.890,16.685,0.001
jiaocaineedrop_jiaocai_needrop_en_349,44,0.882,74.039,0.001
jiaocaineedrop_jiaocai_needrop_en_4065,36,0.877,17.386,0.001
jiaocaineedrop_jiaocai_needrop_en_620,64,0.861,30.047,0.001
jiaocaineedrop_jiaocai_needrop_en_887,16,0.884,4.810,0.001
docstructbench_dianzishu_zhongwenzaixian-o.O-60832903.pdf_88,7,0.836,1.807,0.001
yanbaor2_bedda45af71c9703274cf8b2c62a772e6be615c355d2b255d9408b1b40b606de.pdf_3,12,0.850,1.730,0.001
notes_1ba14cb325bc448f7201b20502ecf2b5_101,18,0.851,3.753,0.001
notes_1ba14cb325bc448f7201b20502ecf2b5_126,6,0.885,5.074,0.001
notes_1ba14cb325bc448f7201b20502ecf2b5_52,12,0.838,1.906,0.001
notes_1ba14cb325bc448f7201b20502ecf2b5_79,7,0.872,3.734,0.001
notes_9e951846094758afac08c620144e3a76_14,5,0.871,4.305,0.001
notes_f7f010b78016aeebd76e56d9283eb67f_2,7,0.861,2.887,0.001
notes_f7f010b78016aeebd76e56d9283eb67f_47,14,0.851,5.891,0.001
notes_f7f010b78016aeebd76e56d9283eb67f_71,54,0.878,5.225,0.001
notes_f7f010b78016aeebd76e56d9283eb67f_96,13,0.869,4.971,0.001
newspaper_1cddf9d22ca549f3a86cf1512a3110cc_1,87,1.031,54.611,0.001
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_2,22,0.903,17.241,0.001
newspaper_41a09cb64841567c220d8cac3c1cc193_1,93,1.010,83.524,0.001
newspaper_5e8bcc55b922fd521a667c6ef01027d5_1,66,1.001,37.757,0.001
newspaper_9eafddb83b0f7f99c42ff364b080e2c1_1,109,0.977,53.998,0.001
newspaper_c79c0c10a5df54b21bccad8f64063ffa_1,77,1.006,32.304,0.001
newspaper_e62730aaeb9b509119e0c3699ac18201_1,92,1.020,54.786,0.001
newspaper_fe5ed29024932fad071afc53807b16ba_5,26,0.860,16.588,0.001
eastmoney_6e1cdb75430fe7d7a7757754d163d1a4a8a1c2a3fca38b74a8a2e8df009f2ce0.pdf_2,11,0.891,31.263,0.001
eastmoney_c2abc680754ea4676c752cb3bda24323046ece560f8b23ce66b705887c9bcf9b.pdf_16,7,0.846,11.088,0.001
